Program_Name,School,School_Type,Community_Of_Schools,Zip_Code,Dual_Language,Applications,Seat_Offers
Cantara Street Elementary Visual/Performing Arts Magnet,Cantara Street Elementary,MAGNET CENTER - ELEMENTARY,CLEVELAND COS,91335,Yes,7,6
Canterbury Avenue Elementary Gifted Magnet,Canterbury Avenue Elementary,MAGNET CENTER - ELEMENTARY,SUN VALLEY COS,91331,No,233,67
Canterbury Avenue Elementary Gifted Magnet,Canterbury Avenue Elementary,MAGNET CENTER - ELEMENTARY,SUN VALLEY COS,91331,Yes,7,1
Carthay Elementary of Environmental Studies Magnet,Carthay Elementary of Environmental Studies Magnet,MAGNET-SELF CONTAINED (ELEM),HAMILTON COS,90048,No,161,78
Carthay Elementary of Environmental Studies Magnet,Carthay Elementary of Environmental Studies Magnet,MAGNET-SELF CONTAINED (ELEM),HAMILTON COS,90048,Yes,3,3
Castelar Street Elementary DL Two-Way Im Mandarin,Castelar Street Elementary,DUAL LANGUAGE (DLC) - ELEM,DOWNTOWN COS,90012,No,105,14
Castelar Street Elementary DL Two-Way Im Mandarin,Castelar Street Elementary,DUAL LANGUAGE (DLC) - ELEM,DOWNTOWN COS,90012,Yes,77,18
Castle Heights Elementary,Castle Heights Elementary,ELEMENTARY SCHOOL,HAMILTON COS,90034,No,189,17
Castle Heights Elementary,Castle Heights Elementary,ELEMENTARY SCHOOL,HAMILTON COS,90034,Yes,20,1
Castle Heights Elementary World Lang Im Spanish,Castle Heights Elementary,DUAL LANGUAGE (DLC) - ELEM,HAMILTON COS,90034,No,98,20
Castle Heights Elementary World Lang Im Spanish,Castle Heights Elementary,DUAL LANGUAGE (DLC) - ELEM,HAMILTON COS,90034,Yes,75,5
Catskill Avenue Elementary,Catskill Avenue Elementary,ELEMENTARY SCHOOL,CARSON COS,90745,No,34,6
Catskill Avenue Elementary,Catskill Avenue Elementary,ELEMENTARY SCHOOL,CARSON COS,90745,Yes,3,0
Catskill Avenue Elementary DL Two-Way Im Spanish,Catskill Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,CARSON COS,90745,No,31,3
Catskill Avenue Elementary DL Two-Way Im Spanish,Catskill Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,CARSON COS,90745,Yes,24,0
