Program_Name,School_Name,School_Type,School_ZipCode,Applicant_ZipCode,Applications_count,Seat_Offers
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90220,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90222,3,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90247,4,2
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90248,6,2
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90249,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90250,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90302,2,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90502,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90712,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90731,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90745,4,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90746,30,5
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90803,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90805,1,0
